seed,model,landmark_hours,lead_minutes,n,events,p_mean,event_rate,brier,logloss
11,empirical,1.0,30,772,1,0.0063657407407407,0.0012953367875647669,0.0013193678864199302,0.01292810736302674
11,empirical,1.0,60,772,6,0.0138888888888888,0.007772020725388601,0.007749032495362276,0.047115878324801866
11,empirical,1.0,120,772,17,0.0341435185185184,0.022020725388601035,0.021682775155231617,0.10834303367606991
11,empirical,1.0,240,772,117,0.1817129629629629,0.15155440414507773,0.12949520539927997,0.428598875814409
11,empirical,3.0,30,755,11,0.0233672857998801,0.01456953642384106,0.014434665426318945,0.07802941148272607
11,empirical,3.0,60,755,26,0.0515278609946076,0.03443708609271523,0.0335432677809053,0.1532087894156773
11,empirical,3.0,120,755,100,0.1527860994607549,0.13245033112582782,0.11532078438425822,0.39267814360241526
11,empirical,3.0,240,755,436,0.6303175554224086,0.5774834437086093,0.24678775931164101,0.6869776480279326
11,empirical,5.0,30,655,69,0.10678925035360669,0.10534351145038168,0.09424834620666128,0.33667868548305613
11,empirical,5.0,60,655,145,0.2545968882602546,0.22137404580152673,0.17347133490802769,0.5316397908810381
11,empirical,5.0,120,655,336,0.5636492220650636,0.5129770992366413,0.25239925892734105,0.6979940438621197
11,empirical,5.0,240,655,610,0.92998585572843,0.9312977099236641,0.06398400637603241,0.25028245795377885
11,empirical,7.0,30,319,113,0.3095623987034035,0.3542319749216301,0.2307470539042676,0.6545824950628817
11,empirical,7.0,60,319,187,0.5769854132901134,0.5862068965517241,0.24265340674046448,0.6783839441689451
11,empirical,7.0,120,319,274,0.8395461912479741,0.8589341692789969,0.12154215581612783,0.4083373322591342
11,empirical,7.0,240,319,319,0.9999990000000001,1.0,1.0000000000575112e-12,1.000000500029089e-06
11,empirical,9.0,30,45,16,0.3535353535353535,0.35555555555555557,0.2291398836853382,0.6508269967732321
11,empirical,9.0,60,45,25,0.5454545454545454,0.5555555555555556,0.24701561065197425,0.6871676065898509
11,empirical,9.0,120,45,45,0.999999,1.0,1.0000000000575112e-12,1.000000500029089e-06
11,empirical,9.0,240,45,45,0.999999,1.0,1.0000000000575112e-12,1.000000500029089e-06
11,hazard,1.0,30,772,1,0.004195212561381758,0.0012953367875647669,0.0013242649349847362,0.013188961749529663
11,hazard,1.0,60,772,6,0.01021275433910383,0.007772020725388601,0.0077326737257935015,0.045743628672094035
11,hazard,1.0,120,772,17,0.0318902733324956,0.022020725388601035,0.02146331440389506,0.10084729907181046
11,hazard,1.0,240,772,117,0.1832597326984628,0.15155440414507773,0.1250310283843745,0.41091572277452154
