sid,user,day,cohort,model,lead_minutes,p,y,brier,logloss
s55-110-28,u028,2025-06-09,regular,empirical,30,0.0011737089201877549,0,1.3775926293283055e-06,0.0011743982559415578
s55-110-28,u028,2025-06-09,regular,empirical,60,0.0046948356807511304,0,2.2041482069253932e-05,0.004705891037412617
s55-110-28,u028,2025-06-09,regular,empirical,120,0.017018779342723,0,0.0002896388503162951,0.017165263130094227
s55-110-28,u028,2025-06-09,regular,hazard,30,0.004565569395705404,0,2.0844423907001812e-05,0.004576023438900949
s55-110-28,u028,2025-06-09,regular,hazard,60,0.01196093271837817,0,0.0001430639114935694,0.012033040233006885
s55-110-28,u028,2025-06-09,regular,hazard,120,0.04335724265780183,0,0.0018798504908875107,0.04432525153412171
s55-110-28,u028,2025-06-09,regular,hazard_cal,30,0.00420721574552696,0,1.7700664329409974e-05,0.004216090979789165
s55-110-28,u028,2025-06-09,regular,hazard_cal,60,0.01109388496713859,0,0.00012307428366410358,0.011155881053694385
s55-110-28,u028,2025-06-09,regular,hazard_cal,120,0.04085238010945402,0,0.0016689169606073147,0.0417102848806922
s55-110-45,u045,2025-06-09,regular,empirical,30,0.0011737089201877549,0,1.3775926293283055e-06,0.0011743982559415578
s55-110-45,u045,2025-06-09,regular,empirical,60,0.0046948356807511304,0,2.2041482069253932e-05,0.004705891037412617
s55-110-45,u045,2025-06-09,regular,empirical,120,0.017018779342723,0,0.0002896388503162951,0.017165263130094227
s55-110-45,u045,2025-06-09,regular,hazard,30,0.0016638731271914065,0,2.7684737833897102e-06,0.001665258901464811
s55-110-45,u045,2025-06-09,regular,hazard,60,0.004370622536865043,0,1.9102341359752623e-05,0.004380201628797799
s55-110-45,u045,2025-06-09,regular,hazard,120,0.01602564706845977,0,0.0002568213639628332,0.016155446363521207
s55-110-45,u045,2025-06-09,regular,hazard_cal,30,0.0015016777950951354,0,2.2550362002817876e-06,0.0015028064432473657
s55-110-45,u045,2025-06-09,regular,hazard_cal,60,0.003969664578065912,0,1.575823686235122e-05,0.003977564610413629
s55-110-45,u045,2025-06-09,regular,hazard_cal,120,0.014779630643052322,0,0.00021843748194505118,0.014889937597326711
s55-110-25,u025,2025-06-09,variable,empirical,30,0.0011737089201877549,0,1.3775926293283055e-06,0.0011743982559415578
s55-110-25,u025,2025-06-09,variable,empirical,60,0.0046948356807511304,0,2.2041482069253932e-05,0.004705891037412617
s55-110-25,u025,2025-06-09,variable,empirical,120,0.017018779342723,0,0.0002896388503162951,0.017165263130094227
s55-110-25,u025,2025-06-09,variable,hazard,30,0.000641188564524775,0,4.1112277527734156e-07,0.0006413942138237649
s55-110-25,u025,2025-06-09,variable,hazard,60,0.0016858353143142102,0,2.842040706988892e-06,0.0016872579337605935
s55-110-25,u025,2025-06-09,variable,hazard,120,0.006206532127164044,0,3.8521041045519433e-05,0.006225872714532244
s55-110-25,u025,2025-06-09,variable,hazard_cal,30,0.00056746951181319,0,3.2202164683750024e-07,0.000567630583575034
