sid,user,day,cohort,model,lead_minutes,p,y,brier,logloss
s33-110-17,u017,2025-06-09,regular,empirical,30,0.0028985507246376274,0,8.401596303297314e-06,0.002902759657961351
s33-110-17,u017,2025-06-09,regular,empirical,60,0.004637681159420315,0,2.1508086536442157e-05,0.004648468567984626
s33-110-17,u017,2025-06-09,regular,empirical,120,0.0197101449275362,0,0.000388489813064481,0.0199069805668798
s33-110-17,u017,2025-06-09,regular,hazard,30,0.00031445640887117765,0,9.888283308015726e-08,0.000314505860654943
s33-110-17,u017,2025-06-09,regular,hazard,60,0.0008495131560840585,0,7.21672602359898e-07,0.0008498741968723199
s33-110-17,u017,2025-06-09,regular,hazard,120,0.0033467067472839895,0,1.1200446052316181e-05,0.003352319496626308
s33-110-17,u017,2025-06-09,regular,hazard_cal,30,0.0003024101519965017,0,9.145190003054725e-08,0.0003024558871672693
s33-110-17,u017,2025-06-09,regular,hazard_cal,60,0.0008225256183761465,0,6.765483928850621e-07,0.0008228640781798889
s33-110-17,u017,2025-06-09,regular,hazard_cal,120,0.0032937698543969995,0,1.0848919853734432e-05,0.003299206255108103
s33-110-24,u024,2025-06-09,regular,empirical,30,0.0028985507246376274,0,8.401596303297314e-06,0.002902759657961351
s33-110-24,u024,2025-06-09,regular,empirical,60,0.004637681159420315,0,2.1508086536442157e-05,0.004648468567984626
s33-110-24,u024,2025-06-09,regular,empirical,120,0.0197101449275362,0,0.000388489813064481,0.0199069805668798
s33-110-24,u024,2025-06-09,regular,hazard,30,0.0017532008121254883,0,3.0737130876374715e-06,0.0017547394673133132
s33-110-24,u024,2025-06-09,regular,hazard,60,0.0047297595072158805,0,2.2370624996099007e-05,0.004740980214525835
s33-110-24,u024,2025-06-09,regular,hazard,120,0.018512835729345922,0,0.000342725086741747,0.018686343017304787
s33-110-24,u024,2025-06-09,regular,hazard_cal,30,0.0017454739283068177,0,3.0466792343988338e-06,0.001746999042880883
s33-110-24,u024,2025-06-09,regular,hazard_cal,60,0.004740830563571996,0,2.247547443249837e-05,0.004752103945027886
s33-110-24,u024,2025-06-09,regular,hazard_cal,120,0.018857653839290278,0,0.0003556111083224994,0.019037726823223893
s33-110-40,u040,2025-06-09,regular,empirical,30,0.0028985507246376274,0,8.401596303297314e-06,0.002902759657961351
s33-110-40,u040,2025-06-09,regular,empirical,60,0.004637681159420315,0,2.1508086536442157e-05,0.004648468567984626
s33-110-40,u040,2025-06-09,regular,empirical,120,0.0197101449275362,0,0.000388489813064481,0.0199069805668798
s33-110-40,u040,2025-06-09,regular,hazard,30,0.0007265951018294858,0,5.279404420026009e-07,0.000726859199986521
s33-110-40,u040,2025-06-09,regular,hazard,60,0.0019621382618019156,0,3.849986558427043e-06,0.001964065776861199
s33-110-40,u040,2025-06-09,regular,hazard,120,0.007715605978886431,0,5.953057562142803e-05,0.007745525262995281
s33-110-40,u040,2025-06-09,regular,hazard_cal,30,0.0007106598210747661,0,5.050373812900186e-07,0.0007109124594658048
s33-110-40,u040,2025-06-09,regular,hazard_cal,60,0.0019321538085006473,0,3.733218339703556e-06,0.0019340228255441342
s33-110-40,u040,2025-06-09,regular,hazard_cal,120,0.007722552870774835,0,5.963782284191264e-05,0.007752526195638836
s33-110-15,u015,2025-06-09,variable,empirical,30,0.0028985507246376274,0,8.401596303297314e-06,0.002902759657961351
s33-110-15,u015,2025-06-09,variable,empirical,60,0.004637681159420315,0,2.1508086536442157e-05,0.004648468567984626
s33-110-15,u015,2025-06-09,variable,empirical,120,0.0197101449275362,0,0.000388489813064481,0.0199069805668798
s33-110-15,u015,2025-06-09,variable,hazard,30,0.000611746480354336,0,3.74233756225918e-07,0.0006119336735795399
s33-110-15,u015,2025-06-09,variable,hazard,60,0.0016521774684417068,0,2.729690387226447e-06,0.0016535438188115725
s33-110-15,u015,2025-06-09,variable,hazard,120,0.006500128673427974,0,4.225167277112051e-05,0.006521346505551176
s33-110-15,u015,2025-06-09,variable,hazard_cal,30,0.0005962579837176518,0,3.5552358314703954e-07,0.000596435816202098
s33-110-15,u015,2025-06-09,variable,hazard_cal,60,0.0016212972909011025,0,2.6286049054832543e-06,0.001622613015666816
s33-110-15,u015,2025-06-09,variable,hazard_cal,120,0.006483549578050307,0,4.203641513103632e-05,0.00650465907807855
s33-110-41,u041,2025-06-09,regular,empirical,30,0.0028985507246376274,0,8.401596303297314e-06,0.002902759657961351
s33-110-41,u041,2025-06-09,regular,empirical,60,0.004637681159420315,0,2.1508086536442157e-05,0.004648468567984626
s33-110-41,u041,2025-06-09,regular,empirical,120,0.0197101449275362,0,0.000388489813064481,0.0199069805668798
s33-110-41,u041,2025-06-09,regular,hazard,30,0.0007768641601740844,0,6.035179233629855e-07,0.0007771660755106959
s33-110-41,u041,2025-06-09,regular,hazard,60,0.0020977860085185096,0,4.400706137536021e-06,0.0020999894436835582
s33-110-41,u041,2025-06-09,regular,hazard,120,0.008247137504648672,0,6.801527702058272e-05,0.008281333284475636
s33-110-41,u041,2025-06-09,regular,hazard_cal,30,0.0007608519597614993,0,5.788957046729142e-07,0.000761141554515644
s33-110-41,u041,2025-06-09,regular,hazard_cal,60,0.002068515648018243,0,4.278756986096332e-06,0.0020706579813210787
s33-110-41,u041,2025-06-09,regular,hazard_cal,120,0.008265643843944792,0,6.832086815494244e-05,0.008299993691381853
s33-110-51,u051,2025-06-09,regular,empirical,30,0.0028985507246376274,0,8.401596303297314e-06,0.002902759657961351
s33-110-51,u051,2025-06-09,regular,empirical,60,0.004637681159420315,0,2.1508086536442157e-05,0.004648468567984626
s33-110-51,u051,2025-06-09,regular,empirical,120,0.0197101449275362,0,0.000388489813064481,0.0199069805668798
s33-110-51,u051,2025-06-09,regular,hazard,30,0.001184624659925082,0,1.4033355849026162e-06,0.0011853268823523182
s33-110-51,u051,2025-06-09,regular,hazard,60,0.003197615039826185,0,1.0224741942922614e-05,0.0032027383352638927
s33-110-51,u051,2025-06-09,regular,hazard,120,0.012547889432360404,0,0.0001574495292067419,0.01262727901051783
s33-110-51,u051,2025-06-09,regular,hazard_cal,30,0.0011701197871061275,0,1.3691803161772892e-06,0.0011708049117683124
s33-110-51,u051,2025-06-09,regular,hazard_cal,60,0.0031799141967433497,0,1.0111854298649904e-05,0.0031849808677966223
s33-110-51,u051,2025-06-09,regular,hazard_cal,120,0.012682581727143427,0,0.00016084787926567236,0.012763692189903858
